start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
2024-03-04,383,1,l3_reached,18.0,103.0,20.0
2024-03-04,384,1,l3_reached,18.0,109.0,22.0
2024-03-04,385,2,l3_reached,16.0,110.0,20.0
2024-03-04,386,2,l3_reached,15.0,102.0,21.0
2024-03-04,387,2,l3_reached,16.0,104.0,25.0
2024-03-04,388,3,degenerated,29.0,,
2024-03-04,389,3,l3_reached,9.0,127.0,21.0
2024-03-04,390,3,l3_reached,19.0,115.0,7.0
2024-03-04,391,4,l3_reached,21.0,101.0,36.0
2024-03-04,392,4,l3_reached,18.0,91.0,36.0
2024-03-04,393,4,degenerated,73.0,,
2024-03-04,394,5,l3_reached,16.0,107.0,14.0
2024-03-04,395,5,l3_reached,15.0,118.0,25.0
2024-03-04,396,6,l3_reached,20.0,105.0,22.0
2024-03-04,397,6,l3_reached,17.0,94.0,18.0
2024-03-04,398,6,l3_reached,16.0,115.0,21.0
2024-03-04,399,7,l3_reached,16.0,103.0,33.0
2024-03-04,400,7,l3_reached,16.0,101.0,16.0
2024-03-04,401,8,l3_reached,17.0,105.0,20.0
2024-03-04,402,8,l3_reached,14.0,94.0,20.0
2024-03-04,403,9,l3_reached,17.0,85.0,23.0
2024-03-04,404,9,l3_reached,26.0,102.0,19.0
2024-03-04,405,9,l3_reached,17.0,116.0,13.0
2024-03-04,406,9,l3_reached,13.0,105.0,21.0
2024-03-04,407,9,l3_reached,14.0,107.0,18.0
2024-03-04,408,9,l3_reached,12.0,83.0,35.0
2024-03-04,409,10,l3_reached,16.0,118.0,20.0
2024-03-04,410,10,l3_reached,15.0,106.0,23.0
2024-03-04,411,10,l3_reached,6.0,87.0,45.0
2024-03-04,412,10,l3_reached,40.0,123.0,25.0
2024-03-04,413,11,l3_reached,16.0,110.0,24.0
2024-03-04,414,11,l3_reached,19.0,120.0,20.0
2024-03-04,415,11,l3_reached,23.0,110.0,22.0
2024-03-04,416,12,l3_reached,22.0,103.0,29.0
2024-03-04,417,12,l3_reached,17.0,106.0,15.0
2024-03-04,418,12,l3_reached,16.0,107.0,30.0
2024-03-04,419,12,l3_reached,16.0,125.0,22.0
2024-03-20,420,1,l3_reached,16.0,109.0,19.0
2024-03-20,421,1,l3_reached,14.0,119.0,27.0
2024-03-20,422,2,l3_reached,13.0,107.0,19.0
2024-03-20,423,2,l3_reached,12.0,102.0,18.0
2024-03-20,424,3,l3_reached,13.0,104.0,18.0
2024-03-20,425,3,l3_reached,13.0,106.0,25.0
2024-03-20,426,4,l3_reached,15.0,131.0,27.0
2024-03-20,427,4,l3_reached,15.0,115.0,23.0
2024-03-20,428,5,l3_reached,15.0,127.0,27.0
2024-03-20,429,5,l3_reached,16.0,115.0,21.0
2024-03-20,430,6,l3_reached,14.0,110.0,28.0
2024-03-20,431,6,l3_reached,12.0,125.0,20.0
2024-03-20,432,7,l3_reached,12.0,93.0,18.0
2024-03-20,433,7,l3_reached,17.0,93.0,35.0
2024-03-20,434,8,l3_reached,13.0,96.0,24.0
2024-03-20,435,8,l3_reached,16.0,108.0,21.0
2024-03-20,436,9,l3_reached,12.0,109.0,32.0
2024-03-20,437,9,l3_reached,16.0,111.0,21.0
2024-03-20,438,10,l3_reached,14.0,114.0,28.0
2024-03-20,439,10,l3_reached,13.0,114.0,20.0
2024-03-20,440,11,l3_reached,13.0,101.0,19.0
2024-03-20,441,11,l3_reached,15.0,96.0,27.0
2024-03-20,442,12,l3_reached,8.0,106.0,24.0
2024-03-20,443,12,l3_reached,13.0,104.0,22.0
2025-06-12,831,1,l3_reached,19.1,115.3,18.2
2025-06-12,832,1,l3_reached,14.3,97.5,18.9
2025-06-12,833,1,l3_reached,16.5,128.5,17.8
2025-06-12,834,2,l3_reached,15.1,120.3,18.3
2025-06-12,835,2,l3_reached,14.6,116.3,20.2
2025-06-12,836,2,l3_reached,13.0,115.2,18.2
2025-06-12,837,3,l3_reached,17.2,120.1,16.7
2025-06-12,838,3,l3_reached,20.8,128.1,22.7
2025-06-12,839,3,l3_reached,14.4,118.6,23.0
2025-06-12,840,4,degenerated,13.1,,
2025-06-12,841,4,l3_reached,13.5,98.7,26.8
2025-06-12,842,4,l3_reached,14.8,125.2,23.0
2025-06-12,843,5,l3_reached,14.9,138.4,19.0
2025-06-12,844,5,l3_reached,14.6,118.1,21.0
2025-06-12,845,5,l3_reached,17.0,131.1,24.6
2025-06-12,846,6,l3_reached,17.7,125.3,20.7
2025-06-12,847,6,l3_reached,11.3,123.5,22.3
2025-06-12,848,6,l3_reached,14.8,131.3,25.0
2025-06-12,849,7,l3_reached,14.3,98.6,18.0
2025-06-12,850,7,l3_reached,15.9,123.8,20.0
2025-06-12,851,7,l3_reached,17.9,153.6,23.0
2025-06-12,852,8,l3_reached,15.0,119.5,20.0
2025-06-12,853,8,l3_reached,18.7,129.3,24.0
