egg_uid,analysis_group,dt_motion_stop_h,flags,death_mode
453,400-SHG-10mW-5s,500.2,exit_egg,necrotic_like
455,400-SHG-10mW-5s,156.2,exit_egg,necrotic_like
457,400-SHG-10mW-5s,578.2,exit_egg,necrotic_like
458,400-SHG-10mW-5s,14.2,exit_egg,necrotic_like
459,400-SHG-10mW-5s,358.2,exit_egg,necrotic_like
460,400-SHG-10mW-5s,630.2,exit_egg,necrotic_like
462,400-SHG-10mW-5s,408.2,exit_egg,necrotic_like
464,400-SHG-10mW-5s,362.2,exit_egg,necrotic_like
466,400-SHG-10mW-5s,565.2,exit_egg,necrotic_like
468,400-SHG-10mW-5s,512.2,exit_egg,necrotic_like
471,400-SHG-10mW-5s,133.2,exit_egg,necrotic_like
472,400-SHG-10mW-5s,219.2,exit_egg,necrotic_like
475,400-SHG-10mW-5s,355.2,exit_egg,necrotic_like
477,400-SHG-10mW-5s,305.2,exit_egg,necrotic_like
482,400-SHG-10mW-5s,147.2,exit_egg,necrotic_like
485,400-SHG-10mW-5s,208.2,exit_egg,necrotic_like
486,400-SHG-10mW-5s,208.2,exit_egg,necrotic_like
487,400-SHG-10mW-5s,589.2,exit_egg,necrotic_like
416,400-SHG-10mW-10s,188.8,exit_egg,necrotic_like
418,400-SHG-10mW-10s,642.8,exit_egg,necrotic_like
419,400-SHG-10mW-10s,227.8,exit_egg,necrotic_like
420,400-SHG-10mW-10s,154.8,exit_egg,necrotic_like
421,400-SHG-10mW-10s,273.8,exit_egg,necrotic_like
422,400-SHG-10mW-10s,0.0,exit_egg,apoptotic_like
423,400-SHG-10mW-10s,371.8,exit_egg,necrotic_like
424,400-SHG-10mW-10s,320.8,exit_egg,necrotic_like
426,400-SHG-10mW-10s,181.8,exit_egg,necrotic_like
428,400-SHG-10mW-10s,222.8,exit_egg,necrotic_like
429,400-SHG-10mW-10s,206.8,exit_egg,necrotic_like
430,400-SHG-10mW-10s,281.8,exit_egg,necrotic_like
434,400-SHG-10mW-10s,17.8,exit_egg,apoptotic_like
435,400-SHG-10mW-10s,422.8,exit_egg,necrotic_like
436,400-SHG-10mW-10s,436.8,exit_egg,necrotic_like
437,400-SHG-10mW-10s,142.8,exit_egg,necrotic_like
438,400-SHG-10mW-10s,264.8,exit_egg,necrotic_like
439,400-SHG-10mW-10s,333.8,exit_egg,necrotic_like
441,400-SHG-10mW-10s,314.8,exit_egg,necrotic_like
444,400-SHG-10mW-10s,682.8,exit_egg,necrotic_like
447,400-SHG-10mW-10s,105.8,exit_egg,necrotic_like
449,400-SHG-10mW-10s,155.8,exit_egg,necrotic_like
451,400-SHG-10mW-10s,673.8,exit_egg,necrotic_like
378,400-SHG-15mW-5s,0.0,exit_egg,necrotic_like
379,400-SHG-15mW-5s,165.5,,apoptotic_like
380,400-SHG-15mW-5s,239.5,,apoptotic_like
381,400-SHG-15mW-5s,137.5,exit_egg,uncertain
382,400-SHG-15mW-5s,181.5,,apoptotic_like
384,400-SHG-15mW-5s,132.5,exit_egg,apoptotic_like
385,400-SHG-15mW-5s,162.5,exit_egg,apoptotic_like
386,400-SHG-15mW-5s,342.5,exit_egg,apoptotic_like
387,400-SHG-15mW-5s,402.5,exit_egg,apoptotic_like
388,400-SHG-15mW-5s,173.5,exit_egg,apoptotic_like
389,400-SHG-15mW-5s,217.5,,apoptotic_like
390,400-SHG-15mW-5s,272.5,,apoptotic_like
391,400-SHG-15mW-5s,312.5,,apoptotic_like
393,400-SHG-15mW-5s,122.5,exit_egg,apoptotic_like
394,400-SHG-15mW-5s,238.5,exit_egg,apoptotic_like
395,400-SHG-15mW-5s,462.5,exit_egg,apoptotic_like
396,400-SHG-15mW-5s,191.5,exit_egg,apoptotic_like
397,400-SHG-15mW-5s,119.5,exit_egg,apoptotic_like
398,400-SHG-15mW-5s,307.5,exit_egg,apoptotic_like
399,400-SHG-15mW-5s,178.5,exit_egg,apoptotic_like
400,400-SHG-15mW-5s,177.5,exit_egg,apoptotic_like
401,400-SHG-15mW-5s,651.5,exit_egg,apoptotic_like
402,400-SHG-15mW-5s,312.5,,apoptotic_like
403,400-SHG-15mW-5s,626.5,,apoptotic_like
404,400-SHG-15mW-5s,114.5,exit_egg,apoptotic_like
405,400-SHG-15mW-5s,148.5,exit_egg,apoptotic_like
406,400-SHG-15mW-5s,202.5,exit_egg,apoptotic_like
407,400-SHG-15mW-5s,162.5,exit_egg,apoptotic_like
408,400-SHG-15mW-5s,460.5,exit_egg,apoptotic_like
409,400-SHG-15mW-5s,312.5,exit_egg,apoptotic_like
410,400-SHG-15mW-5s,27.5,exit_egg,apoptotic_like
411,400-SHG-15mW-5s,113.5,exit_egg,apoptotic_like
412,400-SHG-15mW-5s,160.5,exit_egg,apoptotic_like
413,400-SHG-15mW-5s,182.5,exit_egg,apoptotic_like
414,400-SHG-15mW-5s,237.5,exit_egg,apoptotic_like
415,400-SHG-15mW-5s,282.5,exit_egg,apoptotic_like
340,400-SHG-15mW-10s,7.199999999999999,exit_egg,apoptotic_like
341,400-SHG-15mW-10s,147.2,exit_egg,apoptotic_like
342,400-SHG-15mW-10s,207.2,exit_egg,apoptotic_like
343,400-SHG-15mW-10s,0.0,exit_egg,apoptotic_like
344,400-SHG-15mW-10s,0.0,exit_egg,apoptotic_like
345,400-SHG-15mW-10s,0.0,exit_egg,apoptotic_like
346,400-SHG-15mW-10s,0.0,exit_egg,apoptotic_like
